region,mean_z_score,sem_z_score,std_z_score,t_statistic,p_value,p_fdr_corrected,significant_fdr,cohens_d,n_subjects
Occipital Pole,0.19210889059581132,0.05037995511240157,0.27130436125632096,3.8132009083216043,0.0006918183679213571,0.023679623429867794,True,0.7080936322078217,29
Paracingulate Gyrus,0.2392090564849292,0.06488197290260989,0.3494001170925893,3.686833889037104,0.0009665152420354202,0.023679623429867794,True,0.6846278658273603,29
"Inferior Temporal Gyrus, temporooccipital part",-0.1492782720107502,0.0495607159303595,0.26689262324456237,-3.0120281599747134,0.0054525836936212746,0.07625409985778572,False,-0.5593195877653077,29
Occipital Fusiform Gyrus,0.12968867688905764,0.0438375845353294,0.23607261746943964,2.9583901180627206,0.006224824478186589,0.07625409985778572,False,0.5493592534333054,29
Frontal Pole,0.1417315478501368,0.05018762284735876,0.27026862031133597,2.824033891407864,0.008639258514881999,0.08466473344584359,False,0.5244099284884391,29
Planum Temporale,0.11768726229884424,0.04645424675315697,0.2501637747570432,2.533401583803452,0.01717770910104881,0.12024396370734168,False,0.4704408638426609,29
Subcallosal Cortex,0.12906185221618485,0.05094201686242018,0.2743311564119576,2.533504956522315,0.0171736089629599,0.12024396370734168,False,0.4704600596746483,29
Frontal Opercular Cortex,0.07748666833648635,0.03714691735698776,0.20004227204438435,2.085951509564769,0.04621334876479944,0.22117407284060994,False,0.3873514709895617,29
Parietal Opercular Cortex,0.07154126387887944,0.03414301760722165,0.18386577682778374,2.0953409772353457,0.04530704219456025,0.22117407284060994,False,0.38909505136395195,29
"Temporal Fusiform Cortex, posterior division",0.10322902664966711,0.049792500574457166,0.2681408217527913,2.0731842237025973,0.04747149267542513,0.22117407284060994,False,0.3849806455237826,29
"Temporal Fusiform Cortex, anterior division",0.09672960680257058,0.04714476627131414,0.25388233616486267,2.051757054980395,0.04965132247442264,0.22117407284060994,False,0.38100172018173656,29
Postcentral Gyrus,-0.07816245019894799,0.040323874642411446,0.21715071061161756,-1.9383665605571307,0.06272033305555304,0.2364074092093922,False,-0.35994563397374535,29
"Cingulate Gyrus, posterior division",-0.05700434885390684,0.02908061573367762,0.15660390841880265,-1.9602180839620724,0.05998999844714959,0.2364074092093922,False,-0.3640033600021097,29
Precuneous Cortex,0.07471922463394999,0.04090973510005482,0.22030566573001034,1.8264411747278673,0.07846444119536795,0.26281241772046166,False,0.3391616116015832,29
Supracalcarine Cortex,0.06970187711000574,0.03870152646254829,0.20841409828849974,1.8010110577280896,0.08248167324170769,0.26281241772046166,False,0.33443935742542746,29
"Superior Temporal Gyrus, anterior division",0.0741135145268049,0.041620580310668495,0.22413368434152722,1.7806939253032852,0.0858162996638242,0.26281241772046166,False,0.33066656064901545,29
"Middle Temporal Gyrus, posterior division",0.06519684749879291,0.037585100509182366,0.202401960534662,1.734646086229429,0.09380100141910766,0.27036759232566326,False,0.3221156915998733,29
Central Opercular Cortex,0.0703333146904854,0.04250485350728927,0.22889564123986175,1.6547125536716356,0.10915112125560084,0.28211395894703817,False,0.30727240723986743,29
Background,0.08704745914770597,0.05264310519559365,0.28349179743759045,1.6535396007565308,0.10939112693864746,0.28211395894703817,False,0.3070545953516313,29
"Supramarginal Gyrus, posterior division",-0.052409023970785965,0.03513391515620495,0.18920192343604447,-1.491693246761031,0.1469613869730601,0.3600553980839972,False,-0.2770004819137141,29
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.07897681222459724,0.05835216182906083,0.3142360083020757,1.3534513503707897,0.18673766792949878,0.4357212251688305,False,0.25132960621329137,29
"Inferior Frontal Gyrus, pars opercularis",-0.05933608766970913,0.04810785124277068,0.25906870745943056,-1.2333971719143402,0.22768188845940968,0.4464200884527799,False,-0.22903610494525278,29
"Lateral Occipital Cortex, superior division",-0.044018968575480585,0.033930212374426436,0.18271978557736088,-1.2973384336567888,0.20510265062747524,0.4464200884527799,False,-0.2409096991679842,29
"Lateral Occipital Cortex, inferior division",0.028965914493294286,0.023488989128674722,0.12649207761090406,1.2331699050400378,0.22776535125141834,0.4464200884527799,False,0.22899390254617277,29
Intracalcarine Cortex,0.053094535500195626,0.042751323264576556,0.23022292150282822,1.2419389961711287,0.2245615797852629,0.4464200884527799,False,0.2306222818892661,29
Superior Parietal Lobule,-0.051042830973709055,0.04233623763124732,0.22798761695827646,-1.2056534503206686,0.23804122438263364,0.44861615364419416,False,-0.22388422518162596,29
"Supramarginal Gyrus, anterior division",-0.03664041835909177,0.031285098736061445,0.16847541270116626,-1.1711779677670444,0.25139789699979875,0.4562406278885237,False,-0.21748228879001363,29
"Parahippocampal Gyrus, anterior division",0.04112822284125821,0.0393831498975781,0.2120847528225404,1.0443101414746774,0.30527457244703754,0.5342305017823157,False,0.1939235248828651,29
Angular Gyrus,0.046546417475731086,0.04844285534701073,0.2608727597718297,0.9608520625447263,0.34485123362578685,0.5826796706090881,False,0.17842574869236075,29
Precentral Gyrus,0.03702404190968116,0.03974479221117619,0.21403225628249953,0.9315444829340443,0.35953513495319633,0.587240720423554,False,0.17298346778540433,29
Frontal Orbital Cortex,0.03206064324683904,0.048181291131225705,0.25946419336217846,0.665416855673694,0.5112285282212836,0.7235584153305082,False,0.1235648080430371,29
"Parahippocampal Gyrus, posterior division",0.03005466377483571,0.04609456316525701,0.24822681935778046,0.6520218809121702,0.5197040046997838,0.7235584153305082,False,0.12107742367482287,29
