region,mean_z_score,sem_z_score,t_statistic,p_value,effect_size,significant,n_subjects
Paracingulate Gyrus,0.43913940499262677,0.06847479542841133,6.413153953146687,6.065507523544852e-07,1.1908927921110712,True,29
Background,0.41319277774999724,0.062302838270824584,6.632005687347455,3.401000007176947e-07,1.2315325389041167,True,29
Subcallosal Cortex,0.35893389774498385,0.06798363778910696,5.279710080511402,1.2914067244765874e-05,0.9804175488773544,True,29
Frontal Pole,0.35775340553613333,0.05867434948040411,6.097270931919147,1.4092346338241677e-06,1.1322347876598344,True,29
Insular Cortex,0.31440125616504205,0.058960865952470035,5.332371753469319,1.118545256015491e-05,0.9901965760462441,True,29
Superior Frontal Gyrus,0.3139326438542499,0.06405320859561447,4.901122843606369,3.634314406181967e-05,0.9101156638907588,True,29
"Inferior Frontal Gyrus, pars opercularis",0.3037483698876312,0.05831147020926491,5.209067252078471,1.5661594783981752e-05,0.967299504961718,True,29
Frontal Medial Cortex,0.2720476237222923,0.06006192130314161,4.529452568612094,0.00010027870054213433,0.8410982264853392,True,29
"Cingulate Gyrus, anterior division",0.2610101307941738,0.057992308375148745,4.500771535178683,0.00010842743793383748,0.8357722922826544,True,29
"Superior Temporal Gyrus, anterior division",0.23553909738249643,0.04546368842952893,5.180818044439888,1.6918057805634024e-05,0.9620537587960376,True,29
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.23128305595122864,0.0642431663394798,3.6001191897837184,0.00121388914758136,0.6685253504245816,True,29
Middle Frontal Gyrus,0.23010480402807598,0.06772919679803344,3.39742407863247,0.002056140338978386,0.6308858132125154,True,29
"Cingulate Gyrus, posterior division",0.2299663058019466,0.055332833974196145,4.156055081313725,0.0002761561082532936,0.771760053807007,True,29
"Inferior Frontal Gyrus, pars triangularis",0.2274716727380105,0.05940926053118625,3.8288925111027377,0.0006635661079652925,0.7110074896928043,True,29
Frontal Orbital Cortex,0.21557143976453863,0.05554810265278546,3.880806534689602,0.0005779166843321875,0.7206476818588984,True,29
Cuneal Cortex,0.17326670803353922,0.06293019302181838,2.7533160111787094,0.010241025297707092,0.511277947804122,True,29
"Inferior Temporal Gyrus, temporooccipital part",0.1643728330009596,0.0610491277227062,2.6924681667453845,0.011838149345783039,0.499978786754731,True,29
Precentral Gyrus,0.15489171804930257,0.057455921819314984,2.6958355752501832,0.01174399637732028,0.5006040988158099,True,29
"Middle Temporal Gyrus, anterior division",0.13578494844008746,0.04621384062216667,2.9381879240514284,0.006541733896862229,0.54560780018446,True,29
"Inferior Temporal Gyrus, anterior division",0.13519763181627073,0.04460905854964371,3.030721477024996,0.005205535590283045,0.5627908495966109,True,29
Temporal Pole,0.12905891347807633,0.053112363931985686,2.4299222238224196,0.02176655494640163,0.4512252290966381,True,29
"Middle Temporal Gyrus, posterior division",0.12264324556817927,0.036559287037293546,3.3546399699499836,0.0022954835318509327,0.6229410036821174,True,29
"Lateral Occipital Cortex, inferior division",0.11849785472404951,0.04130049011933037,2.8691634017337613,0.007743703334773199,0.5327902681701714,True,29
"Inferior Temporal Gyrus, posterior division",0.1146427942223847,0.0442245365246404,2.592289331478005,0.014983246716123564,0.4813760440615719,True,29
Intracalcarine Cortex,0.1060378798348453,0.03913779289090074,2.7093474619387234,0.01137319744701731,0.5031131931838484,True,29
"Middle Temporal Gyrus, temporooccipital part",0.07767943465159678,0.045426827835001446,1.709990293263327,0.09832875331681457,0.3175372257870096,False,29
Precuneous Cortex,0.07734641955491638,0.03892138468366937,1.9872473752808024,0.056756873575433874,0.3690225733942273,False,29
Angular Gyrus,0.07705534481827638,0.05377251077757385,1.4329876679370674,0.1629332279930298,0.26609912960111864,False,29
Postcentral Gyrus,0.07634028214070844,0.04529969556138477,1.6852272668645454,0.10305999307413038,0.3129388472256006,False,29
"Supramarginal Gyrus, anterior division",0.07206157132908601,0.03839709099482959,1.8767455935344053,0.07101044946598457,0.3485029076636633,False,29
Superior Parietal Lobule,0.039331630906474235,0.04216655331397294,0.9327684578250963,0.35891371474672684,0.17321075421671836,False,29
"Superior Temporal Gyrus, posterior division",0.03751064696594609,0.04575743389387964,0.8197716474429172,0.4192701292657627,0.15222777329987144,False,29
"Supramarginal Gyrus, posterior division",0.03545141310354288,0.04046495631015838,0.8761016033679271,0.38842924287717095,0.1626879835148646,False,29
"Lateral Occipital Cortex, superior division",-0.020281669927919924,0.038727416094060045,-0.5237031533077338,0.6046058396921906,-0.09724923415786806,False,29
